Nombre,Producto/Servicio,Fecha detectamos necesidad,Fecha de envío de propuesta,Estado,País,Moneda,Monto,Fee mensual o unica vez
ITG software e Inthegra Software,"- Branding creativo y diseño - 1265
-Propuesta de Valor Única - 1000
-Mejoras SEO - 740
-Plan de comunicación y Gestión de Redes - 850",,22 de may. de 2024 15:17 GMT-3,Enviada,Argentina,USD,"3.855,00",
"Noble Foods - Identidad de marca, branding institucional y desarrollo de página Web","-Identidad de marca 
-Branding institucional 
-Desarrollo de página Web",,8 de mar. de 2024 12:42 GMT-3,Aceptada 100 (Nicea),Argentina,ARS,"340.000,00",unica vez
NeXA - Creación y desarrollo de branding institucional y diseño y desarrollo de página web.,-Desarrollo web 1300,,8 de mar. de 2024 12:18 GMT-3,Aceptada 100 (Nicea),Argentina,USD,"1.306,00",unica vez
"José, herencia de cocina",-Re-branding 500,,8 de mar. de 2024 11:42 GMT-3,Aceptada 100 (Nicea),España,EUR,"500,00",unica vez
Sattva - Creación del sitio web,-Desarrollo web 950,,30 de abr. de 2024 13:33 GMT-3,Aceptada 100 (Nicea),Argentina,USD,"950,00",unica vez
CLAEH- Desarrollo WEB para adquirir mas estudiantes potenciales y SEO-2024,-Desarrollo web 6500,,8 de mar. de 2024 12:35 GMT-3,Aceptada 100 (Nicea),Uruguay,USD,"6.500,00",unica vez
Mochi,-Desarrollo web 1350,,8 de mar. de 2024 12:04 GMT-3,Aceptada 100 (Nicea),España,EUR,"1.350,00",unica vez
Grupo Herencia,-Re-branding 500,,11 de mar. de 2024 11:22 GMT-3,Aceptada 100 (Nicea),España,EUR,"500,00",unica vez
Colegio de Abogados,"-Re-Branding 1200
-Diseño y desarrollo web 4000",,26 de jul. de 2024 11:51 GMT-3,Perdida (Nicea),Argentina,USD,"5.200,00",
Altavista,"-Desarrollo sitio web shopify 4200
-Consultoría de marketing 1200",,8 de mar. de 2024 14:24 GMT-3,Aceptada 100 (Nicea),España,EUR,"5.400,00",fee mensual
Gulf - Promoción 100 años de combustible gratis,-Desarrollo de micrositio a demanda para campaña de sorteo anual - 15000,,26 de jul. de 2024 12:08 GMT-3,Perdida (Nicea),Uruguay,USD,"15.000,00",
SmartFran - Branding + Propuesta de Valor + SEO,"- Branding creativo y diseño 1100
-Propuesta de Valor Única 900
- Mejoras SEO 650",,22 de may. de 2024 14:59 GMT-3,Aceptada 100 (Nicea),Argentina,USD,"2.650,00",unica vez
Conmebol - Encuestas,-Desarollo e iplementación de encuesta NPS con reporte 21000,,15 de mar. de 2024 11:55 GMT-3,Aceptada 100 (Nicea),Paraguay,USD,"21.000,00",unica vez
Distrito 52 - Marketing Digital,"-Gestión de pauta publicitaria (Meta y Google) 960 fee mensual
- Plan de medios (Digital: FB, IG, Google) + community management + diseño gráfico de piezas (feed, stories) 800 fee mensual
-Blogging , eMail marketing y newsletter - 800 fee mensual
-Reportes y análisis 280 fee mensual",,12 de jun. de 2024 12:04 GMT-3,Aceptada 100 (Nicea),Uruguay,USD,"2.920,00",fee mensual
TouchUp Vip ,"- Naming
- Branding creativo y diseño
- Definición de propuesta de valor
-Diseño y desarrollo de página web",,4/09/2024,Enviada,España,EUR,"0,00",
Wine 911,"-Re-Branding 1200
- Diseño y desarrollo web  4000
",,18/07/2024,Perdida (Nicea),Argentina,USD,"5.200,00",
SmartFran - Desarrollo Web,-Diseño y desarrollo web + con redacción - 4000,,22/08/2024,Aceptada 100 (Nicea),Argentina,USD,"4.277,00",unica vez
SmartFran - SmartCloud | Naming + Branding + Propuesta de Valor,"- Naming 1100
- Branding creativo y diseño 1100
- Definición de propuesta de valor 450
",,29/08/2024,Enviada,Argentina,USD,"2.650,00",
Allgeier Engineering,-Optimización del SEO técnico - 2500,,6/09/2024,Enviada,España,EUR,"2.500,00",
Oh Lola,"-Desarrollo de nuevo sistema de reservas con Amelia (implementación de WordPress, instalación de Amelia, configuración, carga, testeo) 800
-Estrategia digital, publicidad paga + consultor - 1500


",,19/10/2024,Perdida (Nicea),España,EUR,"2.300,00",
Alexis Melo,"-Redacción web 300
-Branding para BEF (Balance Emocional Financiero) 400
-Desarrollo institucional + E-commerce + LMS - 2500
-Pauta publicitaria - 700
",,8/10/2024,Enviada,España,USD,"4.100,00",
